moisture_pct,lux,temperature,humidity_pct,growth_stage,label,label_name
31.4,1652,33.0,57.9,3,1,Water_Stress
54.9,3750,27.4,66.3,5,0,Healthy
57.7,4425,21.9,66.6,3,0,Healthy
95.8,4393,21.4,69.9,1,5,Over_Watering
87.2,818,18.0,55.0,1,5,Over_Watering
10.1,1512,21.3,45.3,5,1,Water_Stress
60.7,1178,18.8,97.4,3,4,Fungal_Risk
92.8,287,25.2,80.7,2,2,Root_Rot_Risk
52.4,2117,33.2,37.5,5,3,Heat_Stress
66.0,4967,25.0,66.9,3,0,Healthy
39.6,597,24.3,27.7,1,1,Water_Stress
29.8,6128,32.5,37.9,2,3,Heat_Stress
72.4,4661,25.1,65.7,2,0,Healthy
33.6,6228,38.5,19.7,4,3,Heat_Stress
96.2,1150,20.2,97.6,4,2,Root_Rot_Risk
35.8,597,18.3,57.9,1,1,Water_Stress
36.7,6264,19.5,56.3,4,1,Water_Stress
43.1,1705,38.1,41.0,1,3,Heat_Stress
77.3,1305,22.9,99.3,2,4,Fungal_Risk
9.3,3883,32.6,73.8,2,1,Water_Stress
64.9,1398,21.3,87.1,0,4,Fungal_Risk
56.2,636,24.2,61.0,3,6,Light_Deficiency
63.9,2750,21.4,71.0,1,0,Healthy
52.6,763,16.3,53.1,5,6,Light_Deficiency
65.8,658,17.1,77.7,5,6,Light_Deficiency
14.7,1784,35.2,26.8,2,1,Water_Stress
85.1,4484,23.3,87.0,0,5,Over_Watering
85.9,2582,26.2,63.4,0,5,Over_Watering
48.1,4993,24.2,58.7,5,0,Healthy
80.8,911,24.2,100.0,3,4,Fungal_Risk
64.7,66,20.9,79.9,2,6,Light_Deficiency
85.8,1397,20.8,85.9,4,2,Root_Rot_Risk
33.5,1735,20.1,67.6,5,1,Water_Stress
73.0,124,14.3,58.6,0,6,Light_Deficiency
87.5,2791,19.5,70.5,2,5,Over_Watering
78.3,1352,19.3,91.5,2,4,Fungal_Risk
46.5,496,15.9,54.5,3,6,Light_Deficiency
88.7,218,17.9,84.8,1,2,Root_Rot_Risk
91.5,317,25.1,56.8,1,5,Over_Watering
58.1,2871,39.0,21.6,5,3,Heat_Stress
53.1,388,22.3,64.3,4,6,Light_Deficiency
20.7,5971,34.4,70.8,5,1,Water_Stress
54.0,290,20.8,53.3,5,6,Light_Deficiency
92.2,777,23.7,96.0,3,2,Root_Rot_Risk
65.7,582,20.1,66.3,3,6,Light_Deficiency
33.8,1735,35.0,30.0,3,1,Water_Stress
51.6,375,17.7,51.3,3,6,Light_Deficiency
92.7,1738,26.4,92.6,1,2,Root_Rot_Risk
88.4,1555,25.8,94.9,2,2,Root_Rot_Risk
17.2,6183,23.2,67.2,0,1,Water_Stress
98.8,4741,27.3,85.8,1,5,Over_Watering
57.3,141,20.7,77.2,2,6,Light_Deficiency
14.1,3137,31.6,46.8,4,1,Water_Stress
58.6,3886,25.7,59.7,2,0,Healthy
38.2,6272,19.0,60.4,4,1,Water_Stress
52.6,4596,22.8,63.2,4,0,Healthy
97.9,1308,20.6,93.2,2,2,Root_Rot_Risk
55.9,4747,26.2,60.3,2,0,Healthy
68.7,634,19.3,56.4,5,6,Light_Deficiency
43.5,6838,39.2,19.4,0,3,Heat_Stress
89.9,201,19.1,91.1,4,2,Root_Rot_Risk
87.1,1606,20.4,83.1,0,5,Over_Watering
48.1,5297,32.0,30.5,3,3,Heat_Stress
46.6,4789,25.5,53.1,4,0,Healthy
14.8,4553,22.6,66.5,2,1,Water_Stress
85.6,3067,26.6,69.9,0,5,Over_Watering
43.4,1427,22.8,29.1,4,1,Water_Stress
33.6,4239,27.8,57.4,3,1,Water_Stress
41.3,1477,34.8,59.4,0,1,Water_Stress
99.4,1483,26.3,61.5,2,5,Over_Watering
53.8,2711,24.9,71.6,1,0,Healthy
99.5,544,24.1,87.2,1,2,Root_Rot_Risk
76.8,1642,23.5,77.9,0,0,Healthy
63.2,4123,23.0,66.1,2,0,Healthy
87.4,1096,22.4,92.7,2,2,Root_Rot_Risk
21.3,2191,20.8,32.8,4,1,Water_Stress
13.1,3314,22.8,30.3,3,1,Water_Stress
91.6,964,20.4,97.0,4,2,Root_Rot_Risk
92.0,2578,22.8,68.6,0,5,Over_Watering
67.7,4883,22.9,59.3,3,0,Healthy
16.0,1945,31.0,30.9,3,1,Water_Stress
60.6,487,23.5,88.8,0,4,Fungal_Risk
19.5,3504,23.4,53.3,5,1,Water_Stress
73.4,2656,19.6,71.8,0,0,Healthy
13.3,897,20.4,56.5,0,1,Water_Stress
69.6,3446,21.2,58.9,1,0,Healthy
93.7,1458,17.8,58.3,5,5,Over_Watering
75.0,498,17.2,79.7,3,6,Light_Deficiency
96.9,1533,25.8,76.0,3,5,Over_Watering
45.1,4953,38.2,37.8,2,3,Heat_Stress
96.3,1568,17.4,58.0,2,5,Over_Watering
61.4,692,18.4,50.6,2,6,Light_Deficiency
97.4,2781,18.8,66.8,1,5,Over_Watering
47.3,1498,32.1,37.6,0,3,Heat_Stress
66.2,996,25.8,50.0,5,6,Light_Deficiency
57.9,4339,25.4,65.1,2,0,Healthy
