moisture_pct,lux,temperature,humidity_pct,diagnosis
63.93,1497.57,20.88,90.93,Fungal_Risk
59.46,2830.91,20.67,72.78,Nutrient_Deficiency
67.02,3782.61,19.81,79.16,Healthy
96.0,1086.99,23.6,83.05,Root_Rot_Risk
41.6,4412.47,37.89,35.61,Heat_Stress
11.66,2384.21,16.79,58.69,Water_Stress
41.05,1927.12,23.37,66.61,Nutrient_Deficiency
39.78,2600.27,37.28,23.54,Heat_Stress
97.29,829.5,20.62,80.06,Root_Rot_Risk
60.17,3719.83,20.57,73.63,Healthy
63.51,4477.17,20.29,72.41,Healthy
42.68,6347.1,37.6,31.6,Heat_Stress
89.46,553.96,22.44,87.59,Root_Rot_Risk
42.73,4046.92,36.72,35.24,Heat_Stress
60.43,173.66,20.35,68.23,Light_Deficiency
64.31,4108.72,21.04,76.73,Healthy
69.9,3562.43,23.48,74.52,Healthy
62.17,664.72,23.48,76.02,Light_Deficiency
72.43,1030.72,21.88,94.54,Fungal_Risk
28.85,2842.75,23.24,54.22,Water_Stress
59.9,1629.0,24.24,64.09,Nutrient_Deficiency
61.85,473.99,22.89,49.63,Light_Deficiency
51.44,2499.19,32.56,34.65,Heat_Stress
42.03,3394.31,32.55,24.49,Heat_Stress
41.57,4179.96,36.16,28.84,Heat_Stress
39.37,2163.75,36.44,31.61,Heat_Stress
51.98,287.14,23.92,50.12,Light_Deficiency
75.62,780.86,24.73,85.74,Fungal_Risk
60.56,2623.85,20.98,74.35,Nutrient_Deficiency
49.94,2894.26,20.63,69.47,Nutrient_Deficiency
27.16,4363.46,26.03,72.69,Water_Stress
64.53,3570.11,19.65,66.3,Healthy
57.96,1507.44,22.55,61.75,Nutrient_Deficiency
22.2,4476.66,27.86,66.8,Water_Stress
67.34,688.13,22.96,93.76,Fungal_Risk
49.99,2339.79,21.54,70.61,Nutrient_Deficiency
66.24,554.41,24.96,74.69,Light_Deficiency
10.15,1550.63,28.86,41.56,Water_Stress
91.49,938.05,23.47,87.65,Root_Rot_Risk
22.71,2698.2,23.94,41.69,Water_Stress
62.46,4390.89,22.47,72.37,Healthy
92.98,1615.2,22.83,84.16,Root_Rot_Risk
51.8,1909.65,21.36,52.48,Nutrient_Deficiency
29.3,5045.61,27.38,34.08,Water_Stress
57.89,1928.57,20.74,73.16,Nutrient_Deficiency
89.54,1148.8,23.67,85.75,Root_Rot_Risk
58.75,2423.85,23.45,63.21,Nutrient_Deficiency
13.31,3010.91,25.93,57.22,Water_Stress
62.73,592.84,21.18,70.56,Light_Deficiency
37.17,2901.67,34.8,34.15,Heat_Stress
64.57,386.32,16.53,63.02,Light_Deficiency
92.74,1912.88,20.24,90.12,Root_Rot_Risk
93.12,1739.64,23.45,88.34,Root_Rot_Risk
58.96,1910.04,19.31,59.19,Nutrient_Deficiency
27.71,1785.22,15.72,62.2,Water_Stress
62.91,4394.07,25.87,62.48,Healthy
64.67,1495.42,20.27,56.14,Nutrient_Deficiency
15.01,4556.14,23.12,25.64,Water_Stress
95.26,1436.45,19.91,88.54,Root_Rot_Risk
52.93,403.78,23.85,67.35,Light_Deficiency
62.78,1586.82,21.99,59.05,Nutrient_Deficiency
59.25,829.46,16.54,75.4,Light_Deficiency
66.2,4114.87,20.48,74.36,Healthy
89.71,619.39,20.49,86.05,Root_Rot_Risk
37.69,3116.92,38.94,21.39,Heat_Stress
73.31,641.47,24.93,94.42,Fungal_Risk
64.46,4090.38,25.82,69.51,Healthy
43.49,3989.32,33.29,31.85,Heat_Stress
98.02,602.28,22.84,87.2,Root_Rot_Risk
65.87,4062.14,22.14,65.85,Healthy
64.74,438.74,18.85,69.54,Light_Deficiency
94.24,681.5,21.66,80.9,Root_Rot_Risk
93.99,1130.24,21.96,85.14,Root_Rot_Risk
52.21,3717.31,33.93,35.0,Heat_Stress
67.97,1200.82,21.84,90.49,Fungal_Risk
19.61,5235.51,29.46,45.24,Water_Stress
53.14,2828.3,24.44,78.56,Nutrient_Deficiency
55.99,330.82,21.01,74.16,Light_Deficiency
74.56,798.55,23.41,93.45,Fungal_Risk
66.81,3977.39,20.14,72.61,Healthy
92.07,543.69,22.22,87.73,Root_Rot_Risk
63.1,364.59,22.83,76.67,Light_Deficiency
35.3,3233.49,32.97,29.14,Heat_Stress
47.08,4675.05,35.17,34.9,Heat_Stress
67.81,437.52,21.34,51.07,Light_Deficiency
26.78,2868.31,31.75,28.24,Water_Stress
52.49,1715.72,20.01,66.07,Nutrient_Deficiency
68.15,4538.79,23.53,66.99,Healthy
53.07,940.04,32.81,36.48,Heat_Stress
61.16,3444.62,18.59,64.26,Nutrient_Deficiency
41.23,1349.63,24.55,81.37,Nutrient_Deficiency
12.89,4286.36,21.24,56.34,Water_Stress
63.85,639.24,21.76,62.05,Light_Deficiency
18.52,263.97,19.71,64.65,Water_Stress
92.56,1213.64,22.54,87.6,Root_Rot_Risk
32.49,4116.61,19.53,56.08,Water_Stress
38.22,6259.1,38.53,24.71,Heat_Stress
61.18,2235.83,19.26,78.27,Nutrient_Deficiency
55.94,255.55,24.21,78.2,Light_Deficiency
52.82,3144.34,21.8,67.04,Nutrient_Deficiency
66.35,1438.1,20.73,86.67,Fungal_Risk
60.65,304.67,18.75,59.8,Light_Deficiency
61.47,4466.62,20.82,75.08,Healthy
29.68,2744.98,27.24,57.35,Water_Stress
40.74,3401.53,39.57,37.05,Heat_Stress
91.22,1986.4,22.49,92.69,Root_Rot_Risk
13.66,638.86,26.11,34.34,Water_Stress
90.98,1393.33,18.77,87.97,Root_Rot_Risk
72.85,881.41,20.05,89.14,Fungal_Risk
58.41,661.32,18.23,70.93,Light_Deficiency
72.28,1212.68,23.01,91.76,Fungal_Risk
33.15,762.61,22.74,60.96,Water_Stress
41.72,2245.37,32.98,29.52,Heat_Stress
31.91,2155.08,29.12,50.66,Water_Stress
64.11,832.65,23.07,58.98,Light_Deficiency
30.06,4211.62,22.89,56.31,Water_Stress
63.96,3956.65,21.03,67.44,Healthy
64.35,3798.81,24.92,66.96,Healthy
62.05,606.62,17.28,60.06,Light_Deficiency
60.16,4442.6,22.01,71.4,Healthy
63.4,4030.13,25.24,65.46,Healthy
95.06,1830.09,22.4,87.37,Root_Rot_Risk
92.55,1197.2,22.74,84.68,Root_Rot_Risk
67.55,3550.54,20.13,63.89,Healthy
64.72,4313.51,21.37,65.89,Healthy
67.02,3768.92,23.23,66.33,Healthy
96.57,1532.65,18.82,89.31,Root_Rot_Risk
60.05,1420.7,22.89,64.47,Nutrient_Deficiency
64.81,3784.01,20.84,77.96,Healthy
61.72,3450.56,23.92,77.11,Healthy
62.5,827.51,17.09,67.45,Light_Deficiency
32.27,2787.98,23.31,47.94,Water_Stress
65.61,979.48,18.91,89.3,Fungal_Risk
67.7,4036.21,22.38,66.09,Healthy
59.71,387.32,17.72,82.7,Light_Deficiency
66.11,4056.75,26.73,61.83,Healthy
66.45,1185.46,24.5,89.77,Fungal_Risk
61.53,3883.0,19.55,72.64,Healthy
63.36,4007.98,24.58,71.32,Healthy
51.23,465.02,24.52,71.63,Light_Deficiency
42.03,4626.73,38.63,36.58,Heat_Stress
61.08,4507.34,19.97,64.79,Healthy
37.55,1661.88,40.17,36.74,Heat_Stress
17.89,2616.4,25.88,43.71,Water_Stress
33.18,2099.72,27.11,53.72,Water_Stress
67.79,4426.01,21.87,65.03,Healthy
64.59,3679.09,21.57,77.43,Healthy
69.5,4372.62,20.89,74.4,Healthy
71.98,741.01,22.2,93.55,Fungal_Risk
43.14,5178.52,35.45,28.59,Heat_Stress
46.12,2323.2,18.24,67.84,Nutrient_Deficiency
94.26,555.37,19.06,83.85,Root_Rot_Risk
55.35,905.53,20.69,40.16,Light_Deficiency
33.57,3545.71,15.81,43.69,Water_Stress
90.42,1786.9,24.08,82.83,Root_Rot_Risk
17.99,795.51,18.17,37.19,Water_Stress
25.31,4108.02,27.87,52.2,Water_Stress
48.79,3113.13,26.33,71.56,Nutrient_Deficiency
47.99,1389.29,20.65,55.92,Nutrient_Deficiency
41.7,4616.97,34.38,26.66,Heat_Stress
48.62,1852.09,20.92,63.37,Nutrient_Deficiency
58.45,523.84,19.23,63.67,Light_Deficiency
54.89,2190.82,22.76,70.66,Nutrient_Deficiency
65.75,3757.62,25.45,76.78,Healthy
68.4,394.86,20.42,80.12,Light_Deficiency
65.1,3225.99,21.05,69.62,Healthy
46.32,3703.17,35.61,26.44,Heat_Stress
25.6,2149.92,23.89,51.28,Water_Stress
63.78,4023.67,24.57,75.19,Healthy
36.38,1868.86,39.92,27.58,Heat_Stress
64.56,3949.47,23.33,73.24,Healthy
51.33,3702.8,35.53,27.12,Heat_Stress
59.9,505.4,15.48,69.71,Light_Deficiency
65.62,807.4,18.98,54.43,Light_Deficiency
21.84,2725.47,19.3,65.44,Water_Stress
53.89,1657.98,19.0,57.42,Nutrient_Deficiency
62.1,518.49,17.16,78.92,Light_Deficiency
91.34,940.2,19.57,89.58,Root_Rot_Risk
12.39,3648.48,23.31,40.34,Water_Stress
46.38,3793.63,32.6,28.01,Heat_Stress
40.97,2720.41,22.88,75.09,Nutrient_Deficiency
16.49,3647.44,20.37,64.88,Water_Stress
57.94,1835.49,20.9,58.94,Nutrient_Deficiency
69.44,1091.94,24.97,95.65,Fungal_Risk
33.65,2518.44,35.87,25.51,Heat_Stress
65.66,4033.51,24.21,70.75,Healthy
46.06,6018.64,38.56,20.5,Heat_Stress
69.37,3133.94,22.13,69.92,Healthy
52.82,1453.75,35.75,25.02,Heat_Stress
68.04,540.23,17.73,76.79,Light_Deficiency
68.2,643.99,23.49,90.62,Fungal_Risk
69.0,1153.42,23.82,93.54,Fungal_Risk
14.68,2044.26,22.39,35.35,Water_Stress
43.28,5668.71,41.3,27.11,Heat_Stress
22.26,2844.11,32.44,61.84,Water_Stress
61.22,3924.44,22.45,73.32,Healthy
65.42,3936.98,21.16,73.15,Healthy
55.84,2358.25,25.43,71.22,Nutrient_Deficiency
92.2,1719.17,24.13,91.07,Root_Rot_Risk
68.67,669.68,18.49,70.19,Light_Deficiency
64.15,336.96,20.77,62.76,Light_Deficiency
20.38,3091.36,14.96,45.9,Water_Stress
69.84,572.25,20.22,93.36,Fungal_Risk
64.54,624.25,22.59,89.33,Fungal_Risk
67.4,4599.05,23.34,62.74,Healthy
54.29,3617.88,38.51,33.52,Heat_Stress
64.68,3427.66,20.41,65.31,Healthy
46.44,2456.52,35.17,24.41,Heat_Stress
62.25,562.11,21.48,64.02,Light_Deficiency
90.26,855.86,23.23,87.89,Root_Rot_Risk
