moisture_pct,lux,temperature,humidity_pct,pH,label,label_name
13.6,3851,18.8,33.2,6.74,1,Water_Stress
68.9,4401,18.0,64.6,6.24,0,Healthy
66.4,4501,19.2,79.3,6.71,0,Healthy
41.1,3740,24.3,56.8,5.34,5,Nutrient_Deficiency
56.6,3451,21.2,60.6,5.09,5,Nutrient_Deficiency
31.9,3552,29.3,48.4,6.63,1,Water_Stress
59.9,630,23.4,86.2,6.3,4,Fungal_Risk
87.8,929,23.0,92.7,6.33,2,Root_Rot_Risk
45.9,3836,39.4,26.6,6.07,3,Heat_Stress
60.9,4050,26.0,72.6,6.66,0,Healthy
20.9,3239,34.9,45.0,6.05,1,Water_Stress
53.9,6358,36.7,33.5,6.47,3,Heat_Stress
61.3,4576,25.6,75.0,6.46,0,Healthy
44.8,6230,35.4,26.6,6.12,3,Heat_Stress
93.1,1570,21.9,82.4,6.42,2,Root_Rot_Risk
11.4,5000,32.8,50.9,6.67,1,Water_Stress
25.4,3478,18.7,29.2,6.27,1,Water_Stress
44.1,6284,36.4,32.2,6.69,3,Heat_Stress
69.6,588,22.3,89.5,5.97,4,Fungal_Risk
18.4,5451,20.0,55.5,6.06,1,Water_Stress
67.0,990,22.5,93.6,6.8,4,Fungal_Risk
59.2,767,18.0,74.4,6.15,6,Light_Deficiency
63.0,3829,25.6,62.0,6.28,0,Healthy
59.5,944,24.3,71.0,6.62,6,Light_Deficiency
69.4,833,15.5,59.3,5.99,6,Light_Deficiency
17.1,2062,17.8,56.0,6.44,1,Water_Stress
58.1,3408,24.9,61.7,4.97,5,Nutrient_Deficiency
42.9,1676,20.2,51.4,4.7,5,Nutrient_Deficiency
63.1,3040,21.0,65.2,6.32,0,Healthy
74.5,803,20.0,89.1,5.99,4,Fungal_Risk
60.1,184,24.9,59.3,6.47,6,Light_Deficiency
100.0,1004,22.4,79.9,6.24,2,Root_Rot_Risk
24.2,1985,29.2,31.5,6.77,1,Water_Stress
51.0,426,19.5,73.7,6.15,6,Light_Deficiency
50.3,1862,26.2,53.6,5.19,5,Nutrient_Deficiency
63.5,269,23.3,97.3,6.25,4,Fungal_Risk
56.6,195,22.9,66.3,5.98,6,Light_Deficiency
91.4,1727,19.2,91.4,6.31,2,Root_Rot_Risk
42.1,3152,26.2,55.0,5.06,5,Nutrient_Deficiency
34.1,4376,41.4,31.1,5.84,3,Heat_Stress
52.2,887,24.2,56.5,6.49,6,Light_Deficiency
22.4,4078,23.8,46.3,5.81,1,Water_Stress
58.9,224,24.3,56.7,6.51,6,Light_Deficiency
92.8,1123,19.9,85.4,5.78,2,Root_Rot_Risk
67.4,986,21.6,71.6,5.85,6,Light_Deficiency
32.7,3295,26.2,47.0,5.98,1,Water_Stress
63.6,351,19.3,71.2,5.77,6,Light_Deficiency
86.5,1155,19.7,81.9,6.54,2,Root_Rot_Risk
93.7,1015,25.0,93.1,5.58,2,Root_Rot_Risk
33.1,3957,22.0,48.1,6.13,1,Water_Stress
66.0,2125,24.6,75.2,5.05,5,Nutrient_Deficiency
62.6,449,17.8,69.8,6.52,6,Light_Deficiency
19.8,2129,30.9,33.2,5.84,1,Water_Stress
67.6,3388,24.7,71.6,6.24,0,Healthy
23.2,2290,22.6,47.4,5.98,1,Water_Stress
61.6,3653,21.4,68.2,6.47,0,Healthy
93.1,1953,23.6,87.1,6.37,2,Root_Rot_Risk
69.7,4339,20.9,66.1,6.24,0,Healthy
68.3,221,18.2,73.2,6.34,6,Light_Deficiency
45.3,3485,41.5,26.9,5.93,3,Heat_Stress
97.8,783,19.3,90.0,5.81,2,Root_Rot_Risk
58.5,4060,26.3,66.0,4.95,5,Nutrient_Deficiency
37.7,6823,33.2,22.0,6.48,3,Heat_Stress
60.7,4568,26.1,76.6,6.81,0,Healthy
27.1,2217,23.6,44.7,6.19,1,Water_Stress
44.1,3697,24.9,64.8,5.11,5,Nutrient_Deficiency
20.1,3555,23.8,36.7,5.88,1,Water_Stress
33.8,2690,33.8,42.5,6.77,1,Water_Stress
14.7,5187,34.2,27.4,6.06,1,Water_Stress
46.0,1812,20.9,54.4,5.3,5,Nutrient_Deficiency
66.2,3686,20.4,75.2,6.44,0,Healthy
90.7,892,24.4,81.3,6.34,2,Root_Rot_Risk
67.9,3253,22.8,60.5,6.46,0,Healthy
66.7,4476,24.4,77.7,6.18,0,Healthy
86.4,1089,21.1,85.0,6.8,2,Root_Rot_Risk
28.4,3692,19.8,49.6,6.15,1,Water_Stress
23.9,4855,35.2,55.3,6.63,1,Water_Stress
93.9,911,23.9,87.3,5.73,2,Root_Rot_Risk
45.3,3362,25.8,52.6,4.74,5,Nutrient_Deficiency
67.8,4068,18.9,61.7,6.25,0,Healthy
29.4,4025,25.9,44.9,5.99,1,Water_Stress
68.6,477,23.3,86.4,6.4,4,Fungal_Risk
13.7,4910,32.8,46.2,6.52,1,Water_Stress
65.6,3789,24.3,78.3,6.62,0,Healthy
24.9,2834,25.1,42.3,6.44,1,Water_Stress
66.3,2977,24.2,61.2,6.45,0,Healthy
47.2,3125,24.6,69.7,4.96,5,Nutrient_Deficiency
58.8,696,17.9,69.9,6.56,6,Light_Deficiency
64.8,1524,26.5,68.5,4.57,5,Nutrient_Deficiency
54.3,4689,35.4,34.1,6.83,3,Heat_Stress
61.0,1560,19.7,65.4,4.79,5,Nutrient_Deficiency
61.6,506,24.0,67.0,6.35,6,Light_Deficiency
63.1,2034,18.1,65.9,5.34,5,Nutrient_Deficiency
35.5,1935,36.5,30.6,6.38,3,Heat_Stress
68.3,826,21.5,71.1,6.76,6,Light_Deficiency
67.9,4812,25.5,67.2,6.71,0,Healthy
77.5,1368,20.8,87.6,6.78,4,Fungal_Risk
29.8,3061,36.3,28.4,5.87,3,Heat_Stress
89.8,1896,19.3,89.9,6.04,2,Root_Rot_Risk
58.2,269,25.6,74.5,6.29,6,Light_Deficiency
66.9,3470,24.7,74.4,6.04,0,Healthy
33.0,5085,28.9,27.0,5.96,1,Water_Stress
59.8,4950,20.3,77.3,6.52,0,Healthy
70.6,629,22.3,85.5,6.47,4,Fungal_Risk
93.9,1565,17.8,82.3,6.54,2,Root_Rot_Risk
24.1,1976,20.6,35.4,6.64,1,Water_Stress
94.9,938,19.1,91.3,6.09,2,Root_Rot_Risk
64.6,4441,23.3,78.1,6.51,0,Healthy
69.6,398,25.0,89.3,6.5,4,Fungal_Risk
33.6,5232,34.3,24.3,6.03,3,Heat_Stress
53.7,5104,36.8,37.1,6.66,3,Heat_Stress
69.0,385,20.4,89.9,6.62,4,Fungal_Risk
60.8,159,16.5,68.7,6.62,6,Light_Deficiency
70.5,4684,24.8,64.9,6.64,0,Healthy
61.0,4159,23.0,72.7,6.45,0,Healthy
66.6,3204,19.8,68.9,6.16,0,Healthy
61.5,4228,23.9,68.6,6.56,0,Healthy
69.3,4667,25.3,62.0,6.32,0,Healthy
62.0,3159,18.4,69.1,6.03,0,Healthy
53.3,4288,36.8,26.3,6.05,3,Heat_Stress
65.6,687,22.3,65.3,5.85,6,Light_Deficiency
63.2,3435,18.4,74.8,6.15,0,Healthy
17.7,4103,18.8,32.8,5.84,1,Water_Stress
8.5,5000,29.6,38.9,6.62,1,Water_Stress
66.5,639,19.0,93.8,6.67,4,Fungal_Risk
